"id","country_id","code","fc_name","name","sequence","timestamp"
"5230","82","DE-RP","rheinland-pfalz","Rheinland-Pfalz","11","2016-06-08 00:09:36"
"3919","236","US-RI","rhode island","Rhode Island","39","2016-06-08 00:09:29"
"3867","234","GB-RCT","rhondda, cynon, taff","Rhondda, Cynon, Taff","220","2016-06-08 00:09:29"
"5153","75","FR-69","rhône","Rhône","104","2016-06-08 00:09:35"
"5071","75","FR-V","rhône-alpes","Rhône-Alpes","22","2016-06-08 00:09:35"
"176","103","ID-RI","riau","Riau","31","2016-06-08 00:09:15"
"4823","60","DK-055","ribe","Ribe","13","2016-06-08 00:09:34"
"4378","37","CV-RB","ribeira brava","Ribeira Brava","10","2016-06-08 00:09:31"
"4379","37","CV-RG","ribeira grande","Ribeira Grande","11","2016-06-08 00:09:31"
"4380","37","CV-RS","ribeira grande de santiago","Ribeira Grande de Santiago","12","2016-06-08 00:09:31"
"2817","202","SI-104","ribnica","Ribnica","142","2016-06-08 00:09:25"
"2818","202","SI-177","ribnica na pohorju","Ribnica na Pohorju","143","2016-06-08 00:09:25"
"3708","234","GB-RIC","richmond upon thames","Richmond upon Thames","61","2016-06-08 00:09:29"
"698","122","LV-078","riebiņu novads","Riebiņu novads","78","2016-06-08 00:09:17"
"926","128","LT-39","rietavo","Rietavo","49","2016-06-08 00:09:18"
"375","109","IT-RI","rieti","Rieti","104","2016-06-08 00:09:16"
"555","115","KE-700","rift valley","Rift Valley","54","2016-06-08 00:09:16"
"376","109","IT-RN","rimini","Rimini","105","2016-06-08 00:09:16"
"4824","60","DK-065","ringkøbing","Ringkøbing","14","2016-06-08 00:09:34"
"4244","31","BR-RN","rio grande do norte","Rio Grande do Norte","20","2016-06-08 00:09:31"
"4245","31","BR-RS","rio grande do sul","Rio Grande do Sul","21","2016-06-08 00:09:31"
"4243","31","BR-RJ","rio de janeiro","Rio de Janeiro","19","2016-06-08 00:09:31"
"4558","48","CO-RIS","risaralda","Risaralda","26","2016-06-08 00:09:32"
"1758","159","NI-RI","rivas","Rivas","15","2016-06-08 00:09:21"
"796","125","LR-RI","river cess","River Cess","13","2016-06-08 00:09:17"
"797","125","LR-RG","river gee","River Gee","14","2016-06-08 00:09:17"
"3956","237","UY-RV","rivera","Rivera","13","2016-06-08 00:09:29"
"1853","161","NG-RI","rivers","Rivers","33","2016-06-08 00:09:21"
"1279","141","MU-RR","rivière du rempart","Rivière du Rempart","16","2016-06-08 00:09:19"
"3630","232","UA-56","rivnens'ka oblast'","Rivnens'ka Oblast'","17","2016-06-08 00:09:28"
"2105","174","PH-RIZ","rizal","Rizal","81","2016-06-08 00:09:23"
"3455","227","TR-53","rize","Rize","65","2016-06-08 00:09:28"
"3957","237","UY-RO","rocha","Rocha","14","2016-06-08 00:09:29"
"3733","234","GB-RCH","rochdale","Rochdale","86","2016-06-08 00:09:29"
"2601","197","SC-25","roche caiman","Roche Caiman","23","2016-06-08 00:09:25"
"1810","16","BS-RS","rock sound","Rock Sound","50","2016-06-08 00:09:21"
"1271","141","MU-RO","rodrigues island","Rodrigues Island","8","2016-06-08 00:09:19"
"5301","85","GR-73","rodópi","Rodópi","56","2016-06-08 00:09:36"
"1869","165","NO-11","rogaland","Rogaland","12","2016-06-08 00:09:22"
"2821","202","SI-107","rogatec","Rogatec","146","2016-06-08 00:09:25"
"2819","202","SI-106","rogaška slatina","Rogaška Slatina","144","2016-06-08 00:09:25"
"2820","202","SI-105","rogašovci","Rogašovci","145","2016-06-08 00:09:25"
"3305","220","TH-45","roi et","Roi Et","55","2016-06-08 00:09:27"
"699","122","LV-079","rojas novads","Rojas novads","79","2016-06-08 00:09:17"
"927","128","LT-40","rokiškis","Rokiškis","50","2016-06-08 00:09:18"
